#separator:tab
#html:true
#notetype:Cloze
#columns:Text	Tags
ない형:<br>5단(読む)　 → {{c1::読まない}}<br>1단(食べる) → {{c1::食べない}}<br>する　　　 → {{c1::しない}}<br>くる　　　 → {{c1::こない}}	N5 N5-034 세트A ない형
ます형:<br>5단(読む)　 → {{c1::読みます}}<br>1단(食べる) → {{c1::食べます}}<br>する　　　 → {{c1::します}}<br>くる　　　 → {{c1::きます}}	N5 N5-034 세트A ます형
사전형（기본형）:<br>5단(読む)　 → {{c1::読む}}<br>1단(食べる) → {{c1::食べる}}<br>する　　　 → {{c1::する}}<br>くる　　　 → {{c1::くる}}	N5 N5-034 세트A 사전형
의지형（～よう）:<br>5단(読む)　 → {{c1::読もう}}<br>1단(食べる) → {{c1::食べよう}}<br>する　　　 → {{c1::しよう}}<br>くる　　　 → {{c1::こよう}}	N5 N5-034 세트A 의지형
5단 동사 く 어미 — て형・た형<br>（※ 예외: 行く → <b>いって</b> / <b>いった</b>）<br><br>書く → て형: {{c1::書いて}}　た형: {{c2::書いた}}<br><br>규칙: く → い + て/た	N5 N5-034 세트B B1 く어미
5단 동사 ぐ 어미 — て형・た형<br><br>泳ぐ → て형: {{c1::泳いで}}　た형: {{c2::泳いだ}}<br><br>규칙: ぐ → い + で/だ	N5 N5-034 세트B B2 ぐ어미
5단 동사 す 어미 — て형・た형<br><br>話す → て형: {{c1::話して}}　た형: {{c2::話した}}<br><br>규칙: す → し + て/た	N5 N5-034 세트B B3 す어미
5단 동사 む/ぬ/ぶ 어미 — て형・た형<br>（※ ぬ어미는 현대어에서 死ぬ 한 개뿐）<br><br>読む → て형: {{c1::読んで}}　た형: {{c2::読んだ}}<br>死ぬ → て형: {{c1::死んで}}　た형: {{c2::死んだ}}<br>飛ぶ → て형: {{c1::飛んで}}　た형: {{c2::飛んだ}}<br><br>규칙: む/ぬ/ぶ → ん + で/だ	N5 N5-034 세트B B4 むぬぶ어미
5단 동사 つ/る/う 어미 — て형・た형<br><br>待つ → て형: {{c1::待って}}　た형: {{c2::待った}}<br>帰る → て형: {{c1::帰って}}　た형: {{c2::帰った}}<br>買う → て형: {{c1::買って}}　た형: {{c2::買った}}<br><br>규칙: つ/る/う → っ + て/た	N5 N5-034 세트B B5 つるう어미
1단 동사 — て형・た형<br><br>食べる → て형: {{c1::食べて}}　た형: {{c2::食べた}}<br><br>규칙: 어간 + て/た	N5 N5-034 세트B B6 1단
불규칙 동사 — て형・た형<br><br>する → て형: {{c1::して}}　た형: {{c2::した}}<br>くる → て형: {{c1::きて}}　た형: {{c2::きた}}	N5 N5-034 세트B B7 불규칙
い형용사 활용 (高い 기준):<br><br>부정형　　 → {{c1::高くない}}<br>과거형　　 → {{c2::高かった}}<br>부정과거형 → {{c3::高くなかった}}<br>부사형　　 → {{c4::高く}}<br><br>※ いい → よくない / よかった / よくなかった / よく	N5 N5-035
な형용사 활용 (静か 기준):<br><br>명사수식형　→ {{c1::静かな}} + 명사<br>부사형　　　→ {{c2::静かに}}<br>과거(보통)　→ {{c3::静かだった}}<br>과거(정중)　→ {{c4::静かでした}}<br>부정(보통)　→ {{c5::静かじゃない}}<br>부정(정중)　→ {{c6::静かじゃないです}}	N5 N5-038
