"N5-001","N5","～だ","명사 / な형용사 어간 + ～だ","~이다. 보통체로 단정한다.","<ruby>兄<rt>あに</rt></ruby>は<ruby>医者<rt>いしゃ</rt></ruby>だ。","형은 의사다.","このまちは<ruby>本当<rt>ほんとう</rt></ruby>に<ruby>静<rt>しず</rt></ruby>かだ。","이 동네는 정말 조용하다.","～です보다 덜 공손한 보통체 표현이다."
"N5-002","N5","～です","명사 / な형용사 어간 + ～です","~입니다. 정중체로 단정한다.","こちらは<ruby>新<rt>あたら</rt></ruby>しい<ruby>先生<rt>せんせい</rt></ruby>です。","이쪽은 새 선생님입니다.","この<ruby>部屋<rt>へや</rt></ruby>はとてもきれいです。","이 방은 매우 깨끗합니다.","～だ보다 공손한 정중체 표현이다."
"N5-003","N5","～じゃない","명사 / な형용사 어간 + ～じゃない","~이/가 아니다. 구어적인 부정이다.","あれは<ruby>私<rt>わたし</rt></ruby>のかさじゃない。","저건 내 우산이 아니다.","この<ruby>店<rt>みせ</rt></ruby>はにぎやかじゃない。","이 가게는 북적북적하지 않다.","～ではない보다 말할 때 더 편한 표현이다."
"N5-004","N5","～ではない","명사 / な형용사 어간 + ～ではない","~이/가 아니다. 더 딱딱하고 문어적인 부정이다.","その<ruby>答<rt>こた</rt></ruby>えは<ruby>正解<rt>せいかい</rt></ruby>ではない。","그 답은 정답이 아니다.","この<ruby>場所<rt>ばしょ</rt></ruby>は<ruby>安全<rt>あんぜん</rt></ruby>ではない。","이 장소는 안전하지 않다.","～じゃない보다 격식 있고 딱딱하다."
"N5-005","N5","～こそあど<ruby>指示語<rt>しじご</rt></ruby>","これ・それ・あれ・どれ / この・その・あの・どの + 명사 / ここ・そこ・あそこ・どこ","이것·그것·저것·어느 것처럼 거리와 대상을 가리킨다.","この<ruby>席<rt>せき</rt></ruby>は<ruby>空<rt>あ</rt></ruby>いていますか。","이 자리는 비어 있습니까?","<ruby>出口<rt>でぐち</rt></ruby>はあそこです。","출구는 저기입니다.","どこ는 장소를 묻는 말이면서 こそあど 체계의 의문형이기도 하다."
"N5-006","N5","～<ruby>基本<rt>きほん</rt></ruby><ruby>疑問詞<rt>ぎもんし</rt></ruby>","단독 사용 / 조사와 함께 사용","누구·무엇·어디·언제·얼마·몇처럼 구체적인 대상을 묻는다.","<ruby>今晩<rt>こんばん</rt></ruby>は<ruby>何<rt>なに</rt></ruby>を<ruby>作<rt>つく</rt></ruby>りますか。","오늘 밤은 무엇을 만들까요?","<ruby>会議<rt>かいぎ</rt></ruby>はいつですか。","회의는 언제입니까?","どんな·どうして·どうやって·どう는 성질·이유·방법·상태를 묻는다."
"N5-007","N5","～か","정중체 문말 + ～か","~인가요. 문장 끝에서 의문문을 만든다.","ここは<ruby>市役所<rt>しやくしょ</rt></ruby>ですか。","여기는 시청입니까?","<ruby>明日<rt>あした</rt></ruby>も<ruby>授業<rt>じゅぎょう</rt></ruby>がありますか。","내일도 수업이 있습니까?","보통체는 か 없이 억양만 올려 묻는 일이 많다."
"N5-008","N5","～どんな","どんな + 명사","어떤 ~. 성질이나 종류를 묻는다.","どんな<ruby>映画<rt>えいが</rt></ruby>が<ruby>見<rt>み</rt></ruby>たいですか。","어떤 영화를 보고 싶습니까?","<ruby>田中<rt>たなか</rt></ruby>さんはどんな<ruby>人<rt>ひと</rt></ruby>ですか。","다나카 씨는 어떤 사람입니까?","だれ·なに처럼 대상을 찍어 묻기보다 성질이나 종류를 묻는다."
"N5-009","N5","～どうして","단독 사용","왜. 이유를 묻는다.","どうして<ruby>昨日<rt>きのう</rt></ruby><ruby>休<rt>やす</rt></ruby>みましたか。","왜 어제 쉬었습니까?","どうしてそんなに<ruby>急<rt>いそ</rt></ruby>ぐんですか。","왜 그렇게 서두르나요?","どうやって는 방법, どうして는 이유를 묻는다."
"N5-010","N5","～どうやって","단독 사용","어떻게. 방법이나 수단을 묻는다.","このアプリはどうやって<ruby>使<rt>つか</rt></ruby>いますか。","이 앱은 어떻게 사용합니까?","<ruby>空港<rt>くうこう</rt></ruby>までどうやって<ruby>行<rt>い</rt></ruby>きましたか。","공항까지 어떻게 갔습니까?","どう는 상태를, どうやって는 구체적인 방법을 묻는다."
"N5-011","N5","～どう","단독 사용","어때. 상태·의견·느낌을 묻는다.","<ruby>新<rt>あたら</rt></ruby>しい<ruby>先生<rt>せんせい</rt></ruby>はどうですか。","새 선생님은 어떻습니까?","この<ruby>料理<rt>りょうり</rt></ruby>、どう？","이 요리, 어때?","どうやって와 달리 방법이 아니라 상태나 평가를 묻는다."
